Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
559055,22229,BUNNY WOODEN PAINTED WITH FLOWER ,2,2011-07-05 17:09:00,0.83,,United Kingdom
527492,21238,RED RETROSPOT CUP,2,2010-10-18 11:57:00,0.85,16395.0,United Kingdom
560239,85095,THREE CANVAS LUGGAGE TAGS,8,2011-07-17 11:50:00,1.95,13507.0,United Kingdom
507009,47566,PARTY BUNTING,1,2010-05-05 14:26:00,8.47,,United Kingdom
513050,22583,PACK OF 6 HANDBAG GIFT BOXES,1,2010-06-21 13:18:00,2.55,14493.0,United Kingdom
517055,85124A,PINK JUICY FRUIT PHOTO FRAME,6,2010-07-26 12:57:00,2.55,16558.0,United Kingdom
496445,22195,LARGE HEART MEASURING SPOONS,12,2010-02-01 13:59:00,1.65,13206.0,United Kingdom
573083,84687,BEACH HUT SHELF W 3 DRAWERS,2,2011-10-27 14:22:00,5.95,13735.0,United Kingdom
556636,23002,TRAVEL CARD WALLET SKULLS,1,2011-06-13 15:30:00,0.83,,United Kingdom
523146,21429,RED GINGHAM ROSE JEWELLERY BOX,8,2010-09-20 14:39:00,1.65,12455.0,Cyprus
548560,21533,RETROSPOT LARGE MILK JUG,6,2011-04-01 10:10:00,4.95,13468.0,United Kingdom
550938,22485,SET OF 2 WOODEN MARKET CRATES,2,2011-04-21 15:16:00,12.75,16019.0,United Kingdom
534257,21754,HOME BUILDING BLOCK WORD,2,2010-11-22 11:09:00,5.95,14419.0,United Kingdom
532297,48184,DOORMAT ENGLISH ROSE ,1,2010-11-11 13:50:00,7.95,13979.0,United Kingdom
499977,46000S,POLYESTER FILLER PAD 40x40cm,6,2010-03-03 15:13:00,1.45,14142.0,United Kingdom
566952,20777,CHRYSANTHEMUM NOTEBOOK,1,2011-09-15 16:37:00,1.63,,United Kingdom
495718,85049D,BRIGHT BLUES RIBBONS ,2,2010-01-26 14:25:00,1.25,16791.0,United Kingdom
550213,23053,RECYCLED ACAPULCO MAT PINK,1,2011-04-15 10:42:00,16.63,,United Kingdom
555815,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-06-07 11:47:00,1.25,13089.0,United Kingdom
503721,84795D,SEASIDE STRIPE HAMMOCK,1,2010-04-06 15:37:00,16.98,,United Kingdom
522464,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1,2010-09-14 17:50:00,5.91,,United Kingdom
532964,22065,CHRISTMAS PUDDING TRINKET POT ,4,2010-11-15 12:43:00,1.45,15493.0,United Kingdom
532656,22575,METAL MERRY CHRISTMAS WREATH,8,2010-11-14 11:05:00,1.95,,France
542255,21535,RED RETROSPOT SMALL MILK JUG,1,2011-01-26 16:43:00,4.96,,United Kingdom
538064,21930,JUMBO STORAGE BAG SKULLS,2,2010-12-09 13:47:00,1.95,15271.0,United Kingdom
516197,22070,SMALL RED RETROSPOT MUG IN BOX ,1,2010-07-19 10:31:00,7.62,,United Kingdom
513607,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,2010-06-27 11:59:00,1.65,13802.0,United Kingdom
567043,22212,FOUR HOOK  WHITE LOVEBIRDS,4,2011-09-16 11:27:00,2.1,13268.0,United Kingdom
566495,84991,60 TEATIME FAIRY CAKE CASES,4,2011-09-13 11:14:00,0.55,15529.0,United Kingdom
572846,23083,SET 6 PAPER TABLE LANTERN STARS ,12,2011-10-26 12:14:00,3.75,14550.0,United Kingdom
577061,22746,POPPY'S PLAYHOUSE LIVINGROOM ,6,2011-11-17 14:40:00,2.1,14911.0,EIRE
558262,21481,FAWN BLUE HOT WATER BOTTLE,36,2011-06-28 08:45:00,2.55,14646.0,Netherlands
573822,23344,JUMBO BAG 50'S CHRISTMAS ,20,2011-11-01 11:33:00,2.08,15527.0,United Kingdom
500105,22072,TEA CUP AND SAUCER RETRO SPOT,2,2010-03-04 12:39:00,3.75,17287.0,United Kingdom
562213,23342,MINT DINER WALL CLOCK,1,2011-08-03 13:39:00,8.5,13975.0,United Kingdom
558916,47566,PARTY BUNTING,8,2011-07-05 09:33:00,4.95,16985.0,United Kingdom
534701,22726,ALARM CLOCK BAKELIKE GREEN,4,2010-11-23 16:08:00,3.75,15808.0,United Kingdom
513436,20829,GLITTER HANGING BUTTERFLY STRING,8,2010-06-24 14:05:00,2.1,13203.0,United Kingdom
558370,85132C,CHARLIE AND LOLA FIGURES TINS,8,2011-06-28 15:44:00,1.95,17750.0,United Kingdom
526868,22521,CHILDS GARDEN TROWEL PINK,3,2010-10-13 13:32:00,0.85,15016.0,United Kingdom
540533,85099C,JUMBO  BAG BAROQUE BLACK WHITE,3,2011-01-09 14:12:00,1.95,15005.0,United Kingdom
516752,22380,TOY TIDY SPACEBOY  ,1,2010-07-22 16:01:00,2.1,13031.0,United Kingdom
526210,75049L,LARGE CIRCULAR MIRROR MOBILE,12,2010-10-10 13:46:00,1.25,16466.0,United Kingdom
576617,84375,SET OF 20 KIDS COOKIE CUTTERS,3,2011-11-15 16:57:00,4.13,,United Kingdom
580675,23101,SILVER STARS TABLE DECORATION,12,2011-12-05 14:35:00,0.83,15640.0,United Kingdom
550157,85188A,GREEN METAL SWINGING BUNNY,1,2011-04-14 15:26:00,0.85,16393.0,United Kingdom
533750,20772,GARDEN PATH JOURNAL,2,2010-11-18 14:17:00,2.55,15571.0,United Kingdom
521647,22699,ROSES REGENCY TEACUP AND SAUCER ,1,2010-09-07 13:25:00,2.95,14606.0,United Kingdom
528382,47591B,SCOTTIES CHILDRENS APRON,1,2010-10-21 18:01:00,1.66,,United Kingdom
543821,22640,SET OF 4 NAPKIN CHARMS 3 KEYS ,6,2011-02-14 09:24:00,2.55,17667.0,United Kingdom
554355,22960,JAM MAKING SET WITH JARS,6,2011-05-24 09:20:00,4.25,16992.0,United Kingdom
511096,21498,RED SPOTS  WRAP ,25,2010-06-06 15:49:00,0.42,12682.0,France
568101,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,2011-09-23 15:21:00,0.55,15978.0,United Kingdom
523340,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,2010-09-21 15:36:00,1.65,12474.0,Germany
575070,20717,STRAWBERRY SHOPPER BAG,5,2011-11-08 12:58:00,1.25,17841.0,United Kingdom
538071,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1,2010-12-09 14:09:00,2.98,,United Kingdom
569401,22112,CHOCOLATE HOT WATER BOTTLE,3,2011-10-04 08:56:00,4.95,15111.0,United Kingdom
575751,23320,GIANT 50'S CHRISTMAS CRACKER,24,2011-11-11 10:32:00,2.89,14911.0,EIRE
516306,22327,ROUND SNACK BOXES SET OF 4 SKULLS,18,2010-07-19 13:46:00,2.95,13178.0,United Kingdom
516918,22644,CERAMIC CHERRY CAKE MONEY BANK,12,2010-07-25 11:31:00,1.45,16075.0,United Kingdom
518157,21908,CHOCOLATE THIS WAY METAL SIGN,48,2010-08-05 09:35:00,1.85,13798.0,United Kingdom
535658,22365,DOORMAT RESPECTABLE HOUSE,1,2010-11-28 11:24:00,7.95,13542.0,United Kingdom
550470,21078,SET/20 STRAWBERRY PAPER NAPKINS ,2,2011-04-18 13:49:00,1.63,,United Kingdom
542231,22437,SET OF 9 BLACK SKULL BALLOONS,1,2011-01-26 13:40:00,0.85,16714.0,United Kingdom
541424,84459A,PINK METAL CHICKEN HEART ,1,2011-01-17 17:57:00,3.29,,United Kingdom
537666,22977,DOLLY GIRL CHILDRENS EGG CUP,1,2010-12-07 18:36:00,2.51,,United Kingdom
498114,21179,NO JUNK MAIL METAL SIGN,2,2010-02-16 14:32:00,1.25,15311.0,United Kingdom
490149,22060,LARGE CAKE STAND HANGING HEARTS,1,2009-12-04 09:43:00,21.7,,United Kingdom
521664,21466,RED FLOWER CROCHET FOOD COVER,2,2010-09-07 14:54:00,3.75,17611.0,United Kingdom
542423,22977,DOLLY GIRL CHILDRENS EGG CUP,48,2011-01-28 09:09:00,1.25,15057.0,United Kingdom
579196,21232,STRAWBERRY CERAMIC TRINKET POT,12,2011-11-28 15:54:00,2.46,14096.0,United Kingdom
564729,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2011-08-28 12:44:00,0.55,13137.0,United Kingdom
572549,21942,SKULLS DESIGN FLANNEL,1,2011-10-24 17:03:00,1.63,,United Kingdom
513072,21755,LOVE BUILDING BLOCK WORD,1,2010-06-21 14:19:00,5.95,17137.0,United Kingdom
500327,21661,VINTAGE GLASS TEA CADDY,1,2010-03-07 12:35:00,5.95,17913.0,United Kingdom
569523,23513,EMBROIDERED RIBBON REEL SUSIE ,1,2011-10-04 14:41:00,2.08,16033.0,United Kingdom
560444,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,5,2011-07-18 17:15:00,2.08,13764.0,United Kingdom
567878,22429,ENAMEL MEASURING JUG CREAM,1,2011-09-22 14:42:00,4.25,16910.0,United Kingdom
543097,22219,LOVEBIRD HANGING DECORATION WHITE ,3,2011-02-03 11:41:00,1.63,,United Kingdom
530424,22198,LARGE POPCORN HOLDER ,24,2010-11-03 09:51:00,1.65,14912.0,Italy
578901,22603,CHRISTMAS RETROSPOT TREE WOOD,5,2011-11-27 11:47:00,0.85,17812.0,United Kingdom
524409,22187,GREEN CHRISTMAS TREE CARD HOLDER,4,2010-09-29 09:46:00,4.25,12975.0,United Kingdom
535407,21041,RED RETROSPOT OVEN GLOVE DOUBLE,1,2010-11-26 11:20:00,5.91,,United Kingdom
541422,84012,MAGIC SHEEP WOOL GROWING FROM PAPER,1,2011-01-17 17:48:00,1.63,,United Kingdom
511055,22521,CHILDS GARDEN TROWEL PINK,3,2010-06-06 12:16:00,0.85,14415.0,United Kingdom
532953,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,1,2010-11-15 12:17:00,2.51,,United Kingdom
492953,48195,DOOR MAT GREEN PAISLEY ,2,2009-12-21 15:20:00,6.75,14505.0,United Kingdom
529132,22706,WRAP COWBOYS  ,25,2010-10-26 14:42:00,0.42,13157.0,United Kingdom
546976,72349b,SET/6 PURPLE BUTTERFLY T-LIGHTS,1,2011-03-18 12:08:00,4.13,,United Kingdom
511940,22112,CHOCOLATE HOT WATER BOTTLE,1,2010-06-11 12:15:00,4.95,17243.0,United Kingdom
516548,90087,CRYSTAL SEA HORSE PHONE CHARM,1,2010-07-21 12:11:00,1.66,,United Kingdom
491026,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,48,2009-12-08 19:02:00,3.39,15181.0,United Kingdom
495058,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,2,2010-01-20 15:30:00,2.95,17875.0,United Kingdom
576618,23294,SET OF 6 SNACK LOAF BAKING CASES,1,2011-11-15 17:00:00,2.46,,United Kingdom
522068,22117,METAL SIGN HER DINNER IS SERVED ,2,2010-09-10 17:19:00,2.95,16549.0,United Kingdom
529600,37370,RETRO COFFEE MUGS ASSORTED,12,2010-10-29 09:43:00,1.25,14194.0,United Kingdom
550890,22197,SMALL POPCORN HOLDER,100,2011-04-21 12:00:00,0.72,14711.0,United Kingdom
501137,22221,CAKE STAND LOVEBIRD 2 TIER PINK,12,2010-03-14 12:01:00,8.5,13802.0,United Kingdom
489667,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2009-12-01 18:35:00,2.55,16563.0,United Kingdom
500583,20727,LUNCH BAG  BLACK SKULL.,10,2010-03-09 09:49:00,1.65,13178.0,United Kingdom
535902,22379,RECYCLING BAG RETROSPOT ,24,2010-11-29 11:24:00,1.85,17389.0,United Kingdom
494875,21165,BEWARE OF THE CAT METAL SIGN ,48,2010-01-19 12:31:00,1.45,17511.0,United Kingdom
541129,22318,FIVE HEART HANGING DECORATION,1,2011-01-14 10:14:00,5.79,,United Kingdom
491825,21204,DAISIES  HONEYCOMB GARLAND ,12,2009-12-14 14:02:00,1.65,13931.0,United Kingdom
547898,22384,LUNCH BAG PINK POLKADOT,20,2011-03-28 11:49:00,1.65,16523.0,United Kingdom
492241,22112,CHOCOLATE HOT WATER BOTTLE,3,2009-12-16 09:17:00,4.95,14769.0,United Kingdom
500093,22264,FELT FARM ANIMAL WHITE BUNNY ,1,2010-03-04 12:13:00,0.85,15910.0,United Kingdom
550474,22561,WOODEN SCHOOL COLOURING SET,1,2011-04-18 13:58:00,3.29,,United Kingdom
545417,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2011-03-02 13:42:00,1.95,15622.0,United Kingdom
514097,22227,"DECORATION, HANGING HEART+MIRROR ",3,2010-06-30 12:27:00,1.28,,United Kingdom
565841,23103,JINGLE BELL HEART DECORATION,3,2011-09-07 12:04:00,3.29,,United Kingdom
497230,21384,IVORY HANGING DECORATION  BUTTERFLY,24,2010-02-08 09:22:00,0.85,17504.0,United Kingdom
580879,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-12-06 12:18:00,1.69,17346.0,United Kingdom
530060,20725,LUNCH BAG RED RETROSPOT,4,2010-11-01 11:35:00,4.21,,United Kingdom
564837,21462,"NURSERY A,B,C PAINTED LETTERS",1,2011-08-30 12:40:00,13.29,,United Kingdom
564840,15036,ASSORTED COLOURS SILK FAN,21,2011-08-30 12:49:00,1.63,,United Kingdom
539750,21238,RED RETROSPOT CUP,1,2010-12-21 15:40:00,2.51,,United Kingdom
508360,21244,BLUE  SPOTTY PLATE ,2,2010-05-14 12:55:00,1.69,15723.0,United Kingdom
544311,22994,TRAVEL CARD WALLET RETROSPOT,1,2011-02-17 14:19:00,0.42,17841.0,United Kingdom
566557,21770,OPEN CLOSED METAL SIGN,36,2011-09-13 11:47:00,4.25,14646.0,Netherlands
526272,22568,FELTCRAFT CUSHION OWL,4,2010-10-11 11:32:00,3.75,16303.0,United Kingdom
559921,23301,GARDENERS KNEELING PAD KEEP CALM ,2,2011-07-13 15:42:00,1.65,13667.0,United Kingdom
576570,85114C,RED ENCHANTED FOREST PLACEMAT,6,2011-11-15 13:47:00,1.65,17220.0,United Kingdom
541406,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,3,2011-01-17 15:19:00,1.25,14657.0,United Kingdom
555108,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,12,2011-05-31 14:18:00,0.83,18231.0,United Kingdom
555862,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,2011-06-07 14:28:00,2.08,12757.0,Portugal
573583,72802C,VANILLA SCENT CANDLE JEWELLED BOX,6,2011-10-31 14:29:00,4.25,14167.0,United Kingdom
529091,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,4,2010-10-26 13:37:00,4.25,12371.0,Switzerland
538641,21210,SET OF 72 RETROSPOT PAPER  DOILIES,24,2010-12-13 14:36:00,1.45,15640.0,United Kingdom
578347,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,2011-11-24 09:26:00,3.29,,United Kingdom
502869,21535,RETRO SPOT SMALL MILK JUG,1,2010-03-28 16:13:00,2.55,13113.0,United Kingdom
524595,37495,FAIRY CAKE BIRTHDAY CANDLE SET,4,2010-09-29 16:30:00,3.75,16490.0,United Kingdom
521397,85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,6,2010-09-05 16:02:00,1.65,16549.0,United Kingdom
580124,22153,ANGEL DECORATION STARS ON DRESS,48,2011-12-01 17:12:00,0.42,,EIRE
519607,90210C,RED   ACRYLIC FACETED BANGLE,1,2010-08-18 16:21:00,2.95,14505.0,United Kingdom
533338,21059,PARTY INVITES DINOSAURS,1,2010-11-16 18:18:00,1.66,,United Kingdom
513050,20767,BLUE PAISLEY JOURNAL ,1,2010-06-21 13:18:00,2.55,14493.0,United Kingdom
506394,48184,DOOR MAT ENGLISH ROSE ,10,2010-04-29 13:20:00,6.35,12349.0,Italy
541123,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,12,2011-01-14 09:52:00,1.25,13385.0,United Kingdom
576837,22906,12 MESSAGE CARDS WITH ENVELOPES,2,2011-11-16 15:16:00,3.29,,United Kingdom
532953,20685,DOORMAT RED RETROSPOT,1,2010-11-15 12:17:00,14.43,,United Kingdom
499894,85135B,BLUE DRAGONFLY HELICOPTER,1,2010-03-03 11:40:00,7.95,14593.0,United Kingdom
536406,22803,IVORY EMBROIDERED QUILT ,2,2010-12-01 11:33:00,35.75,17850.0,United Kingdom
534859,21784,SHOE SHINE BOX ,1,2010-11-24 13:56:00,21.23,,United Kingdom
535656,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,1,2010-11-28 11:19:00,2.95,16010.0,United Kingdom
576618,23116,VEGETABLE GARDEN CHOPPING BOARD,2,2011-11-15 17:00:00,10.79,,United Kingdom
580119,47591D,PINK FAIRY CAKE CHILDRENS APRON,1,2011-12-01 16:37:00,1.95,17920.0,United Kingdom
565801,22663,JUMBO BAG DOLLY GIRL DESIGN,10,2011-09-07 10:28:00,2.08,12685.0,France
525748,22741,FUNKY DIVA PEN,48,2010-10-07 09:31:00,0.85,12471.0,Germany
553134,23205,CHARLOTTE BAG ALPHABET  DESIGN,10,2011-05-13 12:50:00,0.85,15382.0,United Kingdom
525886,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,2,2010-10-07 14:48:00,2.95,12748.0,United Kingdom
498893,85099B,JUMBO BAG RED WHITE SPOTTY ,10,2010-02-23 13:22:00,1.95,14755.0,United Kingdom
544280,22973,CHILDREN'S CIRCUS PARADE MUG,12,2011-02-17 12:21:00,1.65,14754.0,United Kingdom
534392,22908,PACK OF 20 NAPKINS RED APPLES,24,2010-11-22 13:09:00,0.85,12633.0,Germany
567882,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,12,2011-09-22 15:03:00,1.65,12906.0,United Kingdom
499276,84270,ASSTD DESIGN BUBBLE GUM RING,30,2010-02-25 18:12:00,0.21,15456.0,United Kingdom
510626,22384,LUNCH BAG PINK RETROSPOT,10,2010-06-02 11:32:00,1.65,14961.0,United Kingdom
544160,21383,PACK OF 12 STICKY BUNNIES,48,2011-02-16 12:49:00,0.65,16494.0,United Kingdom
536401,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,2010-12-01 11:21:00,2.1,15862.0,United Kingdom
532993,22304,COFFEE MUG BLUE PAISLEY DESIGN,36,2010-11-15 14:26:00,2.1,14156.0,EIRE
545897,22241,GARLAND WOODEN HAPPY EASTER,4,2011-03-07 17:22:00,2.46,,United Kingdom
528452,84949,SILVER HANGING T-LIGHT HOLDER,12,2010-10-22 11:26:00,1.65,14945.0,United Kingdom
521808,47592A,CAROUSEL CHILDRENS OVERALL,6,2010-09-08 14:32:00,2.1,18041.0,United Kingdom
542344,22602,RETROSPOT WOODEN HEART DECORATION,1,2011-01-27 11:30:00,1.63,,United Kingdom
554096,21675,BUTTERFLIES STICKERS,12,2011-05-22 12:51:00,0.85,14921.0,United Kingdom
533475,22855,FINE WICKER HEART ,4,2010-11-17 12:50:00,1.25,18109.0,United Kingdom
515907,21829,DINOSAUR KEYRINGS ASSORTED,36,2010-07-15 13:13:00,0.21,13564.0,United Kingdom
527655,85098B,BLUE FLYING SINGING CANARY,1,2010-10-18 14:07:00,3.75,13387.0,United Kingdom
537808,84559B,3D SHEET OF CAT STICKERS,2,2010-12-08 13:23:00,0.85,15311.0,United Kingdom
581433,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-12-08 15:54:00,2.95,14911.0,EIRE
549524,22699,ROSES REGENCY TEACUP AND SAUCER ,1,2011-04-08 15:42:00,5.79,,United Kingdom
505332,22508,DOORSTOP RETROSPOT HEART,1,2010-04-21 12:43:00,3.75,15719.0,United Kingdom
508854,17084P,DRAGONS BLOOD INCENSE,1,2010-05-18 15:13:00,0.43,,United Kingdom
529888,79190B,RETRO PLASTIC POLKA TRAY,1,2010-10-31 14:06:00,0.42,16595.0,United Kingdom
560926,21993,FLORAL FOLK STATIONERY SET,2,2011-07-22 09:20:00,2.46,,United Kingdom
571714,85199S,SMALL HANGING IVORY/RED WOOD BIRD,1,2011-10-18 17:00:00,0.83,,United Kingdom
578289,21888,BINGO SET,1,2011-11-23 14:07:00,3.75,17841.0,United Kingdom
556636,15056N,EDWARDIAN PARASOL NATURAL,2,2011-06-13 15:30:00,12.46,,United Kingdom
575767,22555,PLASTERS IN TIN STRONGMAN,1,2011-11-11 11:11:00,1.65,17348.0,United Kingdom
504933,22131,FOOD CONTAINER SET 3 LOVE HEART ,3,2010-04-19 11:13:00,4.21,,United Kingdom
569133,47504K,ENGLISH ROSE GARDEN SECATEURS,12,2011-09-30 14:06:00,0.79,15185.0,United Kingdom
533160,22671,FRENCH LAUNDRY SIGN BLUE METAL,12,2010-11-16 14:09:00,1.65,14869.0,United Kingdom
577106,21787,RAIN PONCHO RETROSPOT,2,2011-11-17 17:18:00,0.85,14456.0,United Kingdom
529122,22626,BLACK KITCHEN SCALES,4,2010-10-26 14:12:00,8.5,17623.0,United Kingdom
527951,82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",1,2010-10-19 15:36:00,2.51,,United Kingdom
569372,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,2011-10-03 16:04:00,7.46,,United Kingdom
505082,20728,LUNCH BAG CARS BLUE,10,2010-04-20 09:54:00,1.65,13995.0,United Kingdom
490272,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1,2009-12-04 12:36:00,3.75,14680.0,United Kingdom
540821,21030,SPACE CADET RED,2,2011-01-11 13:16:00,0.85,,United Kingdom
537638,22108,PING! MICROWAVE PLATE,1,2010-12-07 15:28:00,3.36,,United Kingdom
552864,20676,RED RETROSPOT BOWL,12,2011-05-11 17:13:00,1.25,13235.0,United Kingdom
490100,20940,SET/6 GARDEN GNOME T-LIGHT CANDLES,3,2009-12-03 16:21:00,2.95,13001.0,United Kingdom
521554,21658,GLASS  BEURRE DISH,8,2010-09-06 16:16:00,3.95,15489.0,United Kingdom
567311,84050,PINK HEART SHAPE EGG FRYING PAN,24,2011-09-19 13:45:00,1.65,13777.0,United Kingdom
535477,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,1,2010-11-26 14:16:00,4.25,17888.0,United Kingdom
504868,21746,SMALL RED RETROSPOT WINDMILL,3,2010-04-18 12:31:00,1.25,13044.0,United Kingdom
494623,85129D,BEADED CRYSTAL HEART PINK SMALL,12,2010-01-15 15:27:00,1.25,15393.0,United Kingdom
531851,22371,AIRLINE BAG VINTAGE TOKYO 78,4,2010-11-10 09:52:00,4.25,14365.0,United Kingdom
513942,21943,CAKES AND RABBITS DESIGN FLANNEL ,1,2010-06-29 13:12:00,1.66,,United Kingdom
556964,23206,LUNCH BAG APPLE DESIGN,10,2011-06-16 09:46:00,1.65,16145.0,United Kingdom
570650,21166,COOK WITH WINE METAL SIGN ,3,2011-10-11 13:13:00,2.08,13263.0,United Kingdom
499770,85114B,IVORY ENCHANTED FOREST PLACEMAT,6,2010-03-02 13:25:00,1.65,15927.0,United Kingdom
580092,21463,MIRRORED DISCO BALL ,1,2011-12-01 14:38:00,5.95,13969.0,United Kingdom
546306,82482,WOODEN PICTURE FRAME WHITE FINISH,1,2011-03-10 16:16:00,4.96,,United Kingdom
570186,22654,DELUXE SEWING KIT ,3,2011-10-07 15:01:00,5.95,17509.0,United Kingdom
556056,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,3,2011-06-08 13:35:00,0.55,17841.0,United Kingdom
555845,23003,TRAVEL CARD WALLET VINTAGE ROSE ,3,2011-06-07 13:19:00,0.42,17015.0,United Kingdom
